time,open,high,low,close,Line4,si_dir,si_close,Kernel Estimate,Synthetic Renko Close,last_state_code,kern_reg,OPEN LONG,OPEN SHORT,CLOSE,Regime Flip → LONG,Regime Flip → SHORT,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
2026-02-04T12:35:00+08:00,6946.5,6947,6945.75,6946.75,6942.9986425280995,1,87.67,6945.802798259066,6945.25,0,1,0,0,0,0,0,6945.859034121301,,,,,,,6983.892902499378,6968.441643470784,6952.990384442191,6945.859034121301,6938.727683800412,6923.276424771819,6907.825165743225,0,0,0,0,,,256
2026-02-04T12:40:00+08:00,6946.5,6948.5,6946.5,6947.25,6943.1401430820015,1,87.76,6945.9776066842305,6945.25,0,1,0,0,0,0,0,6946.019296574907,,,,,,,6983.7125284613885,6968.399653007506,6953.086777553622,6946.019296574907,6938.951815596191,6923.638940142308,6908.326064688425,0,0,0,0,,,472
2026-02-04T12:45:00+08:00,6947.25,6947.75,6946.5,6946.5,6943.279346725917,1,87.83,6946.089365627267,6945.25,0,1,0,0,0,0,0,6946.098943959293,,,,,,,6983.441065810493,6968.270828808443,6953.100591806393,6946.098943959293,6939.097296112193,6923.927059110143,6908.756822108094,0,0,0,0,,,169
2026-02-04T12:50:00+08:00,6946.5,6947.5,6945.25,6946.25,6943.416616303696,1,87.9,6946.145384897778,6945.25,0,1,0,0,0,0,0,6946.147016284756,,,,,,,6983.141280524879,6968.112360677329,6953.08344082978,6946.147016284756,6939.210591739733,6924.181671892184,6909.152752044633,0,0,0,0,,,315
2026-02-04T12:55:00+08:00,6946,6946,6944.5,6946,6943.5507749771905,1,87.945,6946.130190316193,6945.25,0,1,0,0,0,0,0,6946.162350568668,,,,,,,6982.803820620711,6967.918223412069,6953.032626203427,6946.162350568668,6939.29207493391,6924.406477725268,6909.520880516626,0,0,0,0,,,302
2026-02-04T13:00:00+08:00,6946.25,6946.5,6944.75,6945.25,6943.679297995828,-1,87.695,6946.088241554377,6945.25,0,1,0,0,0,0,0,6946.101485712164,,,,,,,6982.389848591792,6967.647701171943,6952.9055537520935,6946.101485712164,6939.297417672234,6924.555270252385,6909.813122832536,0,0,0,0,,,302
2026-02-04T13:05:00+08:00,6945.25,6946.75,6943.5,6944.25,6943.800129265094,1,87.96,6945.97323799709,6945.25,0,1,0,0,0,0,0,6945.943638981357,,,,,,,6981.8976632982485,6967.291340919512,6952.685018540775,6945.943638981357,6939.20225942194,6924.595937043203,6909.989614664466,0,0,0,0,,,427
2026-02-04T13:10:00+08:00,6944.5,6945,6943.5,6943.75,6943.908168565832,-1,87.755,6945.791243060443,6944,3,1,0,0,0,0,0,6945.737860403759,,,,,,,6981.355721784001,6966.885965598278,6952.416209412555,6945.737860403759,6939.059511394964,6924.589755209241,6910.119999023518,0,0,0,0,,,336
2026-02-04T13:15:00+08:00,6944,6946,6944,6945.5,6944.005784797813,1,87.91,6945.724463506273,6944,3,1,0,0,0,0,0,6945.693841135785,,,,,,,6980.980251199921,6966.645147111366,6952.3100430228105,6945.693841135785,6939.07763924876,6924.742535160204,6910.407431071649,0,0,0,0,,,249
2026-02-04T13:20:00+08:00,6945.5,6946.5,6945.25,6946,6944.097642489863,-1,87.83,6945.722571386233,6944,3,1,0,0,0,0,0,6945.697662119386,,,,,,,6980.648779637842,6966.449888145969,6952.2509966540965,6945.697662119386,6939.144327584676,6924.945436092803,6910.74654460093,0,0,0,0,,,234
2026-02-04T13:25:00+08:00,6946,6946.75,6945.25,6945.5,6944.186131710852,-1,87.75,6945.704789113554,6944,3,1,0,0,0,0,0,6945.65794597854,,,,,,,6980.273165722891,6966.2107327017475,6952.148299680605,6945.65794597854,6939.167592276474,6925.105159255332,6911.042726234189,0,0,0,0,,,208
2026-02-04T13:30:00+08:00,6945.75,6945.75,6942,6943.25,6944.2694672392645,-1,87.42,6945.4939827386315,6944,3,1,0,0,0,0,0,6945.420857485855,,,,,,,6979.727341534673,6965.790332389841,6951.853323245008,6945.420857485855,6938.988391726702,6925.051382581869,6911.114373437037,0,0,0,0,,,708
2026-02-04T13:35:00+08:00,6943.5,6944.25,6942.5,6944,6944.346517697205,-1,87.405,6945.300035933768,6944,3,1,0,0,0,0,0,6945.257372386625,,,,,,,6979.257785273023,6965.445117537924,6951.632449802825,6945.257372386625,6938.882294970425,6925.069627235327,6911.256959500228,0,0,0,0,,,252
2026-02-04T13:40:00+08:00,6944,6945.75,6943.75,6945.25,6944.419017203164,-1,87.38,6945.23259021972,6944,3,1,0,0,0,0,0,6945.216157366057,,,,,,,6978.916228613421,6965.225574669179,6951.534920724937,6945.216157366057,6938.897394007176,6925.206740062935,6911.516086118693,0,0,0,0,,,225
2026-02-04T13:45:00+08:00,6945.25,6946.5,6945,6946.25,6944.489832515373,1,87.66,6945.263498532128,6944,3,1,0,0,0,0,0,6945.272407132887,,,,,,,6978.671583348194,6965.103168010725,6951.534752673257,6945.272407132887,6939.010061592517,6925.441646255048,6911.873230917579,0,0,0,0,,,216
2026-02-04T13:50:00+08:00,6946.25,6947.25,6945.75,6945.75,6944.558601475075,1,87.715,6945.313069324212,6944,3,1,0,0,0,0,0,6945.290242031039,,,,,,,6978.387891661467,6964.941971499105,6951.496051336744,6945.290242031039,6939.084432725334,6925.638512562973,6912.192592400612,0,0,0,0,,,305
2026-02-04T13:55:00+08:00,6945.75,6948.75,6945.5,6948.75,6944.629121907684,-1,87.515,6945.537259374472,6946.5,3,1,0,0,0,0,0,6945.592574132862,,,,,,,6978.409469747158,6965.077605903851,6951.745742060542,6945.592574132862,6939.4394062051815,6926.107542361873,6912.775678518566,0,0,0,0,,,784
2026-02-04T14:00:00+08:00,6948.75,6949.75,6947,6949.5,6944.702429208946,1,87.575,6945.859967017755,6947.75,2,1,0,0,0,0,0,6945.969023308507,,,,,,,6978.519321048704,6965.295762591749,6952.0722041347935,6945.969023308507,6939.86584248222,6926.642284025264,6913.418725568309,0,0,0,0,,,502
2026-02-04T14:05:00+08:00,6949.75,6951.5,6949.25,6949.5,6944.781117141971,-1,87.05,6946.270594448143,6949,2,1,0,0,0,0,0,6946.339417557717,,,,,,,6978.630973437143,6965.512528861127,6952.39408428511,6946.339417557717,6940.284750830324,6927.166306254307,6914.04786167829,0,0,0,0,,,769
2026-02-04T14:10:00+08:00,6949.5,6953,6949.5,6952,6944.865878078953,-1,86.97,6946.82394848765,6951.5,2,1,0,0,0,0,0,6946.925057893087,,,,,,,6978.980459545605,6965.95795262427,6952.935445702934,6946.925057893087,6940.91467008324,6927.892163161904,6914.8696562405685,0,0,0,0,,,892
2026-02-04T14:15:00+08:00,6952,6952.25,6949.5,6949.5,6944.952754055578,1,87.11,6947.229650893121,6951.5,2,1,0,0,0,0,0,6947.265254775333,,,,,,,6979.097206151415,6966.1654759048815,6953.233745658348,6947.265254775333,6941.296763892318,6928.365033645785,6915.433303399252,0,0,0,0,,,362
2026-02-04T14:20:00+08:00,6949.25,6950,6947.25,6948.75,6945.041169713955,-1,86.915,6947.476557218469,6949,2,1,0,0,0,0,0,6947.514072918262,,,,,,,6979.134207477042,6966.288527812538,6953.442848148034,6947.514072918262,6941.585297688491,6928.739618023987,6915.8939383594825,0,0,0,0,,,678
2026-02-04T14:25:00+08:00,6948.75,6951,6948.75,6950.75,6945.133676724748,-1,86.755,6947.8442288412825,6949,2,1,0,0,0,0,0,6947.917426851467,,,,,,,6979.330479332088,6966.568926761835,6953.807374191583,6947.917426851467,6942.027479511351,6929.265926941099,6916.504374370847,0,0,0,0,,,499
2026-02-04T14:30:00+08:00,6950.75,6952.5,6949.5,6952.5,6945.23040475242,1,87.205,6948.315116302565,6951.5,2,1,1,0,0,0,0,6948.451372279551,,,,,,,6979.670486419604,6966.987721300207,6954.304956180811,6948.451372279551,6942.597788378291,6929.9150232588945,6917.232258139498,0,0,0,0,,,807
2026-02-04T14:35:00+08:00,6952.5,6954.75,6952.25,6954.25,6945.33092040412,1,87.435,6948.949710309639,6952.75,2,1,0,0,0,0,0,6949.1146527197525,,,,,,,6980.145798080336,6967.539395277599,6954.932992474862,6949.1146527197525,6943.296312964643,6930.689910161906,6918.083507359169,0,0,0,0,,,816
2026-02-04T14:40:00+08:00,6954.25,6956,6954,6955.5,6945.435364533973,1,87.84,6949.6733258494405,6955.25,2,1,0,0,0,0,0,6949.853099182051,,,,,,,6980.695574366432,6968.1658188227775,6955.636063279122,6949.853099182051,6944.0701350849795,6931.540379541324,6919.010623997669,0,0,0,0,,,1032
2026-02-04T14:45:00+08:00,6955.5,6959.25,6955.5,6958.5,6945.5481910510625,1,88.525,6950.5982408596055,6957.75,2,1,0,0,0,0,0,6950.819538813865,,,,,,,6981.4933547987375,6969.032117054883,6956.570879311028,6950.819538813865,6945.0681983167015,6932.606960572846,6920.145722828992,0,0,0,0,,,1556
2026-02-04T14:50:00+08:00,6958.25,6958.25,6955.25,6956,6945.670249648114,1,89.095,6951.331777514204,6957.75,2,1,0,0,0,0,0,6951.507488418841,,,,,,,6982.022688903707,6969.62588870673,6957.229088509753,6951.507488418841,6945.785888327929,6933.389088130952,6920.992287933975,0,0,0,0,,,1182
2026-02-04T14:55:00+08:00,6956,6956.25,6954.25,6955.25,6945.79934271943,1,89.39,6951.906777208513,6955.25,2,1,0,0,1,0,0,6952.069813065881,,,,,,,6982.4233539557235,6970.092227969225,6957.761101982726,6952.069813065881,6946.378524149036,6934.047398162537,6921.716272176039,0,0,0,0,,,852
2026-02-04T15:00:00+08:00,6955.25,6956.75,6954.25,6956.75,6945.933933692166,-1,88.945,6952.504817624003,6955.25,2,1,0,0,0,0,0,6952.711353984082,,,,,,,6982.905932833312,6970.639385175813,6958.372837518313,6952.711353984082,6947.049870449851,6934.783322792351,6922.516775134852,0,0,0,0,,,659
2026-02-04T15:05:00+08:00,6956.75,6957.25,6955,6956.25,6946.073599108804,-1,88.85,6953.050715060517,6955.25,2,1,0,0,0,0,0,6953.248084641444,,,,,,,6983.282756660954,6971.081171153028,6958.8795856451015,6953.248084641444,6947.616583637786,6935.41499812986,6923.2134126219335,0,0,0,0,,,508
2026-02-04T15:10:00+08:00,6956.5,6959.5,6956.5,6958.5,6946.2231053553805,1,88.92,6953.726987718311,6957.75,0,1,1,0,0,0,0,6953.930730606002,,,,,,,6983.813574538682,6971.67366919103,6959.533763843379,6953.930730606002,6948.327697368624,6936.187792020974,6924.047886673322,0,0,0,0,,,1170
