time,open,high,low,close,Line4,si_dir,si_close,Kernel Estimate,Synthetic Renko Close,last_state_code,kern_reg,OPEN LONG,OPEN SHORT,Exit_Renko,Regime Flip → LONG,Regime Flip → SHORT,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
1770937500,24817,24844,24797.75,24841.5,24862.842809993057,1,74.455,24818.031877895162,24825.5625,0,-1,0,0,0,0,0,24819.309174778457,,,,,,,25104.36783150588,24988.562752210364,24872.75767291485,24819.309174778457,24765.860676642063,24650.05559734655,24534.250518051034,0,0,0,0,,,1153
1770937800,24842.25,24849,24834.25,24835.75,24861.577120030695,1,74.64,24820.411217841138,24838.0625,1,-1,0,0,0,0,0,24821.303887301565,,,,,,,25104.47296430002,24989.435526769397,24874.398089238777,24821.303887301565,24768.209685364352,24653.172247833732,24538.13481030311,0,0,0,0,,,592
1770938100,24835.5,24856.75,24830.25,24835,24860.330393983448,1,75.04,24822.69878679165,24838.0625,1,-1,0,0,0,0,0,24823.085326280376,,,,,,,25104.451110011723,24990.146260370864,24875.841410730005,24823.085326280376,24770.329241830746,24656.024392189887,24541.719542549028,0,0,0,0,,,784
1770938400,24834.25,24840.25,24822.25,24829.75,24859.05559917674,1,75.115,24824.047203376336,24835.5625,3,-1,0,0,0,0,0,24824.274082313885,,,,,,,25103.821302218777,24990.255244132415,24876.689186046053,24824.274082313885,24771.858978581717,24658.292920495354,24544.726862408992,0,0,0,0,,,702
1770938700,24829,24844.5,24828.5,24841,24857.738056979826,1,75.17,24825.980670031913,24838.0625,0,-1,0,0,0,0,0,24826.317206540258,,,,,,,25104.011337335756,24991.198096700085,24878.384856064415,24826.317206540258,24774.2495570161,24661.43631638043,24548.62307574476,0,0,0,0,,,516
1770939000,24842.25,24849.5,24777,24803.5,24856.374353333154,-1,75.11,24824.98251007384,24835.5625,0,-1,0,0,0,0,0,24824.812913360907,,,,,,,25101.308354430563,24988.982081496015,24876.655808561467,24824.812913360907,24772.970018160348,24660.6437452258,24548.31747229125,0,0,0,0,,,2153
1770939300,24802.5,24817.75,24753,24758.75,24854.900568290894,-1,74.285,24820.542687264562,24773.0625,1,-1,0,0,0,0,0,24819.107587893388,,,,,,,25094.951103597872,24982.889675342925,24870.82824708798,24819.107587893388,24767.386928698797,24655.32550044385,24543.264072188904,0,0,0,0,,,2172
1770939600,24760,24790,24744.75,24787.5,24853.305461037213,1,74.535,24816.518527338118,24775.5625,0,-1,0,0,0,0,0,24815.97416711021,,,,,,,25091.45301754775,24979.539734557497,24867.62645156725,24815.97416711021,24764.32188265317,24652.408599662922,24540.49531667267,0,0,0,0,,,1141
1770939900,24787.25,24811.5,24777.5,24806.75,24851.629248491747,-1,74.525,24814.609353518117,24800.5625,1,-1,0,0,0,0,0,24814.619618634537,,,,,,,25089.85811339519,24978.042474898673,24866.22683640216,24814.619618634537,24763.012400866915,24651.1967623704,24539.381123873885,0,0,0,0,,,776
1770940200,24811.5,24830,24808,24826.25,24849.8869483437,1,74.73,24814.759674684214,24821.8125,1,-1,0,0,0,0,0,24815.110640998,,,,,,,25090.06795825882,24978.366548121612,24866.665137984404,24815.110640998,24763.556144011593,24651.854733874385,24540.153323737177,0,0,0,0,,,808
1770940500,24826.75,24835.25,24820,24824,24848.09575267782,1,74.92,24815.296036914737,24825.5625,0,-1,0,0,0,0,0,24815.501245918113,,,,,,,25090.032418273004,24978.504129503828,24866.975840734653,24815.501245918113,24764.026651101572,24652.498362332397,24540.97007356322,0,0,0,0,,,396
1770940800,24820,24861.5,24801.5,24854.5,24846.29458379236,1,75.51,24817.522539172667,24841.8125,1,-1,0,0,0,0,0,24818.79088079154,,,,,,,25093.28193193247,24981.76994240647,24870.257952880467,24818.79088079154,24767.323808702615,24655.81181917661,24544.299829650612,0,0,0,0,,,1675
1770941100,24853.25,24864.75,24842,24851.75,24844.50543886378,1,75.84,24820.695168277543,24851.8125,1,-1,0,0,0,0,0,24821.86673970244,,,,,,,25096.22647531725,24984.767832723734,24873.309190130218,24821.86673970244,24770.424289274662,24658.965646681147,24547.50700408763,0,0,0,0,,,723
