time,open,high,low,close,Line4,si_dir,si_close,Kernel Estimate,Synthetic Renko Close,last_state_code,kern_reg,OPEN LONG,OPEN SHORT,Exit_Renko,Regime Flip → LONG,Regime Flip → SHORT,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
2026-02-24T11:21:15+08:00,24879.75,24880.25,24879.5,24879.5,24872.398061389013,0,87.31,24877.115571374554,24878.9375,2,1,0,0,0,0,0,24877.07566632249,,,,,,,24889.871075600855,24884.67294058152,24879.474805562182,24877.07566632249,24874.676527082796,24869.478392063458,24864.280257044124,0,0,0,0,,,7
2026-02-24T11:21:30+08:00,24878.75,24879,24878.25,24879,24872.501465973353,0,87.31,24877.38138653083,24878.9375,2,1,0,0,0,0,0,24877.35929449275,,,,,,,24890.15620488806,24884.957460039965,24879.75871519187,24877.35929449275,24874.959873793632,24869.761128945538,24864.562384097444,0,0,0,0,,,15
2026-02-24T11:21:45+08:00,24878.75,24880.25,24878.75,24880.25,24872.612190009266,-1,87.22,24877.71742756388,24878.9375,2,1,0,0,0,0,0,24877.730400106066,,,,,,,24890.52534885442,24885.327400925402,24880.12945299638,24877.730400106066,24875.33134721575,24870.13339928673,24864.935451357713,0,0,0,0,,,15
2026-02-24T11:22:00+08:00,24880.25,24882,24880.25,24880.5,24872.73047582192,0,87.22,24878.108499578186,24880.1875,0,1,0,0,0,0,0,24878.09387822119,,,,,,,24890.887179806676,24885.68990103757,24880.492622268466,24878.09387822119,24875.69513417391,24870.497855404807,24865.300576635702,0,0,0,0,,,27
2026-02-24T11:22:15+08:00,24881.5,24882,24881,24881.75,24872.856672750462,1,87.235,24878.54333489492,24881.4375,2,1,0,0,0,0,0,24878.54042884867,,,,,,,24891.323594524016,24886.13043346841,24880.9372724128,24878.54042884867,24876.143585284542,24870.950424228933,24865.757263173327,0,0,0,0,,,12
2026-02-24T11:22:30+08:00,24882,24883.25,24879.5,24881,24872.991265164554,-1,87.185,24878.9052985646,24881.4375,2,1,0,0,0,0,0,24878.885498641695,,,,,,,24891.684006563133,24886.48461272005,24881.285218876965,24878.885498641695,24876.485778406426,24871.28638456334,24866.086990720258,0,0,0,0,,,99
2026-02-24T11:22:45+08:00,24880.75,24882.5,24880.75,24882.5,24873.136636036565,0,87.185,24879.312562421463,24881.4375,2,1,0,0,0,0,0,24879.333500255107,,,,,,,24892.148586410865,24886.942457660087,24881.736328909312,24879.333500255107,24876.9306716009,24871.724542850126,24866.518414099348,0,0,0,0,,,12
2026-02-24T11:23:00+08:00,24882.5,24883.75,24880.5,24883,24873.29271720075,0,87.185,24879.73139884565,24881.4375,2,1,0,0,0,0,0,24879.792935280737,,,,,,,24892.64397682911,24887.423241200082,24882.202505571055,24879.792935280737,24877.38336499042,24872.16262936139,24866.941893732364,0,0,0,0,,,86
2026-02-24T11:23:15+08:00,24882.75,24882.75,24882,24882,24873.45762886782,-1,87.14,24880.08072461982,24881.4375,2,1,0,0,0,0,0,24880.124949777266,,,,,,,24893.00025544375,24887.76966251674,24882.539069589733,24880.124949777266,24877.7108299648,24872.48023703779,24867.249644110783,0,0,0,0,,,11
2026-02-24T11:23:30+08:00,24881.5,24883,24881.5,24882.5,24873.630278861798,-1,87.135,24880.413601512082,24881.4375,2,1,0,0,0,0,0,24880.4685121586,,,,,,,24893.365329873748,24888.12599767697,24882.88666548019,24880.4685121586,24878.050358837012,24872.811026640233,24867.571694443453,0,0,0,0,,,7
