time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
1770937800,24842.25,24849,24834.25,24835.75,24821.30389,,,,,,,25104.47296,24989.43553,24874.39809,24821.30389,24768.20969,24653.17225,24538.13481,0,0,0,0,,,592
1770938100,24835.5,24856.75,24830.25,24835,24823.08533,,,,,,,25104.45111,24990.14626,24875.84141,24823.08533,24770.32924,24656.02439,24541.71954,0,0,0,0,,,784
1770938400,24834.25,24840.25,24822.25,24829.75,24824.27408,,,,,,,25103.8213,24990.25524,24876.68919,24824.27408,24771.85898,24658.29292,24544.72686,0,0,0,0,,,702
1770938700,24829,24844.5,24828.5,24841,24826.31721,,,,,,,25104.01134,24991.1981,24878.38486,24826.31721,24774.24956,24661.43632,24548.62308,0,0,0,0,,,516
1770939000,24842.25,24849.5,24777,24803.5,24824.81291,,,,,,,25101.30835,24988.98208,24876.65581,24824.81291,24772.97002,24660.64375,24548.31747,0,0,0,0,,,2153
1770939300,24802.5,24817.75,24753,24758.75,24819.10759,,,,,,,25094.9511,24982.88968,24870.82825,24819.10759,24767.38693,24655.3255,24543.26407,0,0,0,0,,,2172
1770939600,24760,24790,24744.75,24787.5,24815.97417,,,,,,,25091.45302,24979.53973,24867.62645,24815.97417,24764.32188,24652.4086,24540.49532,0,0,0,0,,,1141
1770939900,24787.25,24811.5,24777.5,24806.75,24814.61962,,,,,,,25089.85811,24978.04247,24866.22684,24814.61962,24763.0124,24651.19676,24539.38112,0,0,0,0,,,776
1770940200,24811.5,24830,24808,24826.25,24815.11064,,,,,,,25090.06796,24978.36655,24866.66514,24815.11064,24763.55614,24651.85473,24540.15332,0,0,0,0,,,808
1770940500,24826.75,24835.25,24820,24824,24815.50125,,,,,,,25090.03242,24978.50413,24866.97584,24815.50125,24764.02665,24652.49836,24540.97007,0,0,0,0,,,396
1770940800,24820,24861.5,24801.5,24854.5,24818.79088,,,,,,,25093.28193,24981.76994,24870.25795,24818.79088,24767.32381,24655.81182,24544.29983,0,0,0,0,,,1675
1770941100,24853.25,24864.75,24842,24851.75,24821.86674,,,,,,,25096.22648,24984.76783,24873.30919,24821.86674,24770.42429,24658.96565,24547.507,0,0,0,0,,,723
1770941400,24853.25,24858.5,24837.5,24843.75,24824.23317,,,,,,,25098.34182,24986.98518,24875.62854,24824.23317,24772.8378,24661.48116,24550.12451,0,0,0,0,,,613
1770941700,24845.75,24847,24826,24832.5,24825.48361,,,,,,,25099.21418,24988.01113,24876.80809,24825.48361,24774.15913,24662.95609,24551.75304,0,0,0,0,,,631
1770942000,24832.25,24840.25,24789,24793.75,24823.10549,,,,,,,25096.69904,24985.55166,24874.40428,24823.10549,24771.8067,24660.65932,24549.51194,0,0,0,0,,,2233
1770942300,24793.75,24797.25,24765.5,24781.5,24819.51779,,,,,,,25092.97138,24981.88086,24870.79034,24819.51779,24768.24524,24657.15472,24546.0642,0,0,0,0,,,1562
1770942600,24781.25,24796,24772.25,24778.75,24815.64992,,,,,,,25088.85936,24977.86802,24866.87669,24815.64992,24764.42315,24653.43182,24542.44049,0,0,0,0,,,1074
1770942900,24779.5,24787,24764,24780.25,24811.95922,,,,,,,25084.81188,24973.96548,24863.11909,24811.95922,24760.79935,24649.95295,24539.10656,0,0,0,0,,,733
1770943200,24780.75,24787.75,24740.5,24742.75,24804.93402,,,,,,,25077.61334,24966.83736,24856.06139,24804.93402,24753.80664,24643.03067,24532.2547,0,0,0,0,,,1299
1770943500,24742.5,24755.25,24711.25,24730.75,24796.99414,,,,,,,25069.64266,24958.87919,24848.11573,24796.99414,24745.87254,24635.10908,24524.34562,0,0,0,0,,,2256
1770943800,24729,24741,24709.75,24716.25,24788.03409,,,,,,,25060.63568,24949.89129,24839.14689,24788.03409,24736.9213,24626.1769,24515.43251,0,0,0,0,,,1304
1770944100,24717.25,24742.75,24715,24731.25,24780.84368,,,,,,,25053.33784,24942.63709,24831.93633,24780.84368,24729.75102,24619.05027,24508.34951,0,0,0,0,,,1056
1770944400,24731.25,24773.75,24730.25,24772,24777.85406,,,,,,,25050.37107,24939.66104,24828.951,24777.85406,24726.75712,24616.04709,24505.33705,0,0,0,0,,,1064
1770944700,24772,24816.5,24767.5,24807.75,24778.6447,,,,,,,25051.3781,24940.58016,24829.78221,24778.6447,24727.50719,24616.70924,24505.9113,0,0,0,0,,,1784
1770945000,24807.5,24814,24799.5,24806.25,24779.78701,,,,,,,25052.50288,24941.71206,24830.92124,24779.78701,24728.65279,24617.86197,24507.07114,0,0,0,0,,,584
1770945300,24806,24820,24797.75,24814,24782.02634,,,,,,,25054.58224,24943.85641,24833.13057,24782.02634,24730.92211,24620.19627,24509.47044,0,0,0,0,,,699
1770945600,24813.25,24817.5,24777.25,24779.25,24781.3521,,,,,,,25053.82532,24943.13307,24832.44083,24781.3521,24730.26337,24619.57113,24508.87889,0,0,0,0,,,1897
1770945900,24780.5,24806,24770.5,24796.75,24782.48847,,,,,,,25054.90405,24944.23522,24833.56639,24782.48847,24731.41055,24620.74172,24510.07289,0,0,0,0,,,1084
1770946200,24796.75,24806.75,24780.75,24800.5,24784.10666,,,,,,,25056.37152,24945.76392,24835.15632,24784.10666,24733.05701,24622.44941,24511.84181,0,0,0,0,,,1008
1770946500,24799.25,24810.25,24786.5,24806.25,24786.32047,,,,,,,25058.31804,24947.81902,24837.32001,24786.32047,24735.32092,24624.82191,24514.32289,0,0,0,0,,,496
1770946800,24806.5,24812.25,24790.75,24795.5,24787.53402,,,,,,,25059.12503,24948.79118,24838.45734,24787.53402,24736.61071,24626.27686,24515.94302,0,0,0,0,,,554
1770947100,24794.75,24813.75,24789.75,24808.75,24789.94609,,,,,,,25061.01896,24950.8956,24840.77225,24789.94609,24739.11993,24628.99657,24518.87322,0,0,0,0,,,559
1770947400,24809.75,24821.25,24788.5,24791.25,24790.70974,,,,,,,25061.27051,24951.3552,24841.43989,24790.70974,24739.9796,24630.06429,24520.14898,0,0,0,0,,,798
1770947700,24791,24791.75,24765,24786.25,24790.8378,,,,,,,25060.83039,24951.1459,24841.46141,24790.8378,24740.21419,24630.5297,24520.84521,0,0,0,0,,,1103
1770948000,24788.25,24822.25,24788.25,24813,24793.25023,,,,,,,25062.71602,24953.24554,24843.77507,24793.25023,24742.7254,24633.25492,24523.78445,0,0,0,0,,,985
1770948300,24811,24820.5,24800.5,24818.5,24796.01054,,,,,,,25064.82742,24955.62056,24846.41371,24796.01054,24745.60738,24636.40053,24527.19367,0,0,0,0,,,668
