time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
2026-01-19T19:25:00+08:00,4668.5,4672,4668.4,4671.6,4669.916363,,,,,,,4701.927082,4688.922727,4675.918373,4669.916363,4663.914353,4650.909999,4637.905644,0,0,0,0,,,546
2026-01-19T19:30:00+08:00,4671.7,4672.5,4669.7,4670.2,4669.875988,,,,,,,4701.746604,4688.799166,4675.851728,4669.875988,4663.900247,4650.952809,4638.005371,0,0,0,0,,,462
2026-01-19T19:35:00+08:00,4670.1,4670.3,4668.1,4668.4,4669.696252,,,,,,,4701.418287,4688.53121,4675.644134,4669.696252,4663.748371,4650.861294,4637.974218,0,0,0,0,,,500
2026-01-19T19:40:00+08:00,4668.3,4670.2,4664.6,4669.7,4669.652783,,,,,,,4701.260118,4688.419638,4675.579158,4669.652783,4663.726407,4650.885927,4638.045447,0,0,0,0,,,1335
2026-01-19T19:45:00+08:00,4669.6,4671,4665.9,4667.5,4669.419719,,,,,,,4700.939507,4688.134593,4675.329679,4669.419719,4663.509759,4650.704845,4637.899931,0,0,0,0,,,966
2026-01-19T19:50:00+08:00,4667.5,4668.6,4666,4668.1,4669.256078,,,,,,,4700.684615,4687.916772,4675.148929,4669.256078,4663.363228,4650.595385,4637.827542,0,0,0,0,,,871
2026-01-19T19:55:00+08:00,4667.9,4669.5,4664.7,4665.8,4668.894937,,,,,,,4700.254817,4687.514866,4674.774914,4668.894937,4663.014959,4650.275008,4637.535057,0,0,0,0,,,1177
2026-01-19T20:00:00+08:00,4665.5,4668.5,4665,4667.8,4668.730665,,,,,,,4700.027934,4687.313418,4674.598903,4668.730665,4662.862427,4650.147911,4637.433396,0,0,0,0,,,681
2026-01-19T20:05:00+08:00,4667.9,4670.2,4667.5,4669.4,4668.729655,,,,,,,4699.959602,4687.272436,4674.58527,4668.729655,4662.87404,4650.186874,4637.499708,0,0,0,0,,,551
2026-01-19T20:10:00+08:00,4669.1,4671.3,4668.3,4670.9,4668.881115,,,,,,,4700.04197,4687.382873,4674.723775,4668.881115,4663.038455,4650.379357,4637.72026,0,0,0,0,,,597
2026-01-19T20:15:00+08:00,4670.8,4676.9,4670.8,4675,4669.418876,,,,,,,4700.546058,4687.90064,4675.255222,4669.418876,4663.582529,4650.937111,4638.291693,0,0,0,0,,,1665
2026-01-19T20:20:00+08:00,4674.9,4676.3,4673.7,4675.3,4669.986661,,,,,,,4701.071771,4688.443445,4675.815119,4669.986661,4664.158203,4651.529877,4638.901551,0,0,0,0,,,565
2026-01-19T20:25:00+08:00,4675.4,4676.7,4674.9,4675.5,4670.562253,,,,,,,4701.586258,4688.982756,4676.379254,4670.562253,4664.745252,4652.141749,4639.538247,0,0,0,0,,,586
2026-01-19T20:30:00+08:00,4675.4,4678.1,4674.5,4677.2,4671.28003,,,,,,,4702.245616,4689.665846,4677.086077,4671.28003,4665.473982,4652.894213,4640.314444,0,0,0,0,,,1127
2026-01-19T20:35:00+08:00,4677.2,4677.3,4675.1,4676.2,4671.878583,,,,,,,4702.771442,4690.221218,4677.670994,4671.878583,4666.086171,4653.535947,4640.985723,0,0,0,0,,,487
2026-01-19T20:40:00+08:00,4676.3,4678.4,4675,4676.2,4672.444094,,,,,,,4703.264744,4690.743855,4678.222966,4672.444094,4666.665223,4654.144334,4641.623445,0,0,0,0,,,785
2026-01-19T20:45:00+08:00,4676.4,4677,4674.5,4674.7,4672.829462,,,,,,,4703.56774,4691.080315,4678.592889,4672.829462,4667.066035,4654.57861,4642.091184,0,0,0,0,,,517
