time,open,high,low,close,Line4,si_dir,si_close,Kernel Estimate,Synthetic Renko Close,last_state_code,kern_reg,OPEN LONG,OPEN SHORT,Exit_Renko,Regime Flip → LONG,Regime Flip → SHORT,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
2026-02-23T09:45:15+08:00,5187.3,5187.3,5186.6,5186.6,5181.466969706447,1,87.415,5186.872618651562,5187.325,3,1,0,0,0,0,0,5186.860072183924,,,,,,,5195.886116437282,5192.219285959355,5188.552455481428,5186.860072183924,5185.1676888864195,5181.500858408493,5177.834027930566,0,0,0,0,,,2
2026-02-23T09:45:30+08:00,5186,5186.7,5186,5186.7,5181.6135108469625,-1,87.355,5186.897592874216,5186.825,2,1,0,0,0,0,0,5186.898973281541,,,,,,,5195.899143418368,5192.242824300281,5188.586505182196,5186.898973281541,5185.211441380886,5181.5551222628,5177.898803144713,0,0,0,0,,,4
2026-02-23T09:45:45+08:00,5186.6,5186.7,5186.6,5186.6,5181.761954349411,1,87.365,5186.91612315115,5186.825,2,1,0,0,0,0,0,5186.9137456339095,,,,,,,5195.878005526452,5192.236274945107,5188.594544363761,5186.9137456339095,5185.232946904058,5181.591216322712,5177.9494857413665,0,0,0,0,,,3
2026-02-23T09:46:00+08:00,5187.1,5187.5,5187.1,5187.5,5181.912842757779,-1,87.31,5186.9937187586975,5186.825,2,1,0,0,0,0,0,5186.999637229241,,,,,,,5195.921812655831,5192.297178888779,5188.672545121726,5186.999637229241,5185.326729336755,5181.702095569703,5178.077461802651,0,0,0,0,,,9
2026-02-23T09:46:15+08:00,5187.2,5187.2,5186,5186.3,5182.064299644296,-1,87.255,5186.972923188251,5186.825,2,1,0,0,0,0,0,5186.964416389122,,,,,,,5195.848508496822,5192.2393460780695,5188.630183659316,5186.964416389122,5185.298649118928,5181.689486700174,5178.080324281421,0,0,0,0,,,16
2026-02-23T09:46:30+08:00,5186.5,5186.8,5185.8,5186.1,5182.217780237531,-1,87.2,5186.920363674441,5186.325,3,1,0,0,0,0,0,5186.901857436692,,,,,,,5195.749630080325,5192.155222443849,5188.560814807373,5186.901857436692,5185.24290006601,5181.648492429535,5178.054084793059,0,0,0,0,,,11
2026-02-23T09:46:45+08:00,5186.2,5186.8,5185.9,5186.8,5182.373020850839,1,87.255,5186.898298374212,5186.325,3,1,0,0,0,0,0,5186.900844093162,,,,,,,5195.71276195319,5192.132920322554,5188.553078691917,5186.900844093162,5185.248609494407,5181.66876786377,5178.088926233134,0,0,0,0,,,12
2026-02-23T09:47:00+08:00,5186.3,5186.3,5184.5,5184.6,5182.529350822622,-1,87.195,5186.727157445045,5185.325,0,1,0,0,0,0,0,5186.692598349708,,,,,,,5195.480443795456,5191.91038158312,5188.340319370785,5186.692598349708,5185.04487732863,5181.474815116295,5177.904752903959,0,0,0,0,,,18
2026-02-23T09:47:15+08:00,5184.3,5184.3,5182.1,5183.1,5182.683110438209,-1,87.06,5186.382723383455,5183.325,1,1,0,0,0,0,0,5186.343418465485,,,,,,,5195.123191328556,5191.5564086029335,5187.989625877311,5186.343418465485,5184.69721105366,5181.130428328037,5177.563645602415,0,0,0,0,,,42
2026-02-23T09:47:30+08:00,5182.2,5182.2,5181.7,5182,5182.831667127702,1,87.07,5185.9345381554995,5182.325,2,1,0,0,0,0,0,5185.898746552944,,,,,,,5194.666179650349,5191.104409954528,5187.542640258707,5185.898746552944,5184.254852847182,5180.693083151361,5177.13131345554,0,0,0,0,,,10
